"Name","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BsR","Fld","WAR","playerid"
"Willians Astudillo","1","1","0","0","0","0","0","0","0","0","0","0","0",".199",".233",".262",".495",".220","0.0","0.0","0.0","sa504866"
"Carlos Escobar","1","1","0","0","0","0","0","0","0","0","0","0","0",".184",".228",".264",".492",".220","0.0","0.0","0.0","sa503390"
"Ernesto Genoves","1","1","0","0","0","0","0","0","0","0","0","0","0",".185",".228",".265",".492",".220","0.0","0.0","0.0","sa503266"
"Franco Pizzoli","1","1","0","0","0","0","0","0","0","0","0","0","0",".201",".235",".258",".493",".220","0.0","0.0","0.0","sa597275"
"Gerwins Velasco","1","1","0","0","0","0","0","0","0","0","0","0","0",".191",".238",".249",".486",".220","0.0","0.0","0.0","sa504715"
"Cosme Valle","1","1","0","0","0","0","0","0","0","0","0","0","0",".183",".225",".269",".494",".220","0.0","0.0","0.0","sa210973"
"Michael Perez","1","1","0","0","0","0","0","0","0","0","0","0","0",".179",".223",".270",".493",".220","0.0","0.0","0.0","sa597838"
"Jose Behar","1","1","0","0","0","0","0","0","0","0","0","0","0",".183",".228",".263",".490",".219","0.0","0.0","0.0","sa598557"
"Nelfi Zapata","1","1","0","0","0","0","0","0","0","0","0","0","0",".180",".233",".256",".489",".219","0.0","0.0","0.0","sa502056"
"Wilson Garcia","1","1","0","0","0","0","0","0","0","0","0","0","0",".199",".233",".261",".494",".219","0.0","0.0","0.0","sa596287"
"Jin-De Jhang","1","1","0","0","0","0","0","0","0","0","0","0","0",".193",".231",".264",".494",".219","0.0","0.0","0.0","sa653546"
"Reese Mcguire","1","1","0","0","0","0","0","0","0","0","0","0","0",".196",".233",".259",".492",".219","0.0","0.0","0.0","sa737505"
"Lucas Bailey","1","1","0","0","0","0","0","0","0","0","0","0","0",".183",".223",".269",".492",".219","0.0","0.0","0.0","sa501447"
"Brent Dean","1","1","0","0","0","0","0","0","0","0","0","0","0",".185",".227",".263",".490",".218","0.0","0.0","0.0","sa549605"
"Gabriel Lino","1","1","0","0","0","0","0","0","0","0","0","0","0",".182",".224",".264",".488",".218","0.0","0.0","0.0","sa548048"
"Jose Ovalles","1","1","0","0","0","0","0","0","0","0","0","0","0",".184",".229",".258",".486",".218","0.0","0.0","0.0","sa596289"
"Ryan Battaglia","1","1","0","0","0","0","0","0","0","0","0","0","0",".172",".230",".253",".483",".218","0.0","0.0","0.0","sa599825"
"Patrick Leyland","1","1","0","0","0","0","0","0","0","0","0","0","0",".198",".227",".264",".491",".218","0.0","0.0","0.0","sa548548"
"Angel Rosario","1","1","0","0","0","0","0","0","0","0","0","0","0",".186",".231",".254",".485",".218","0.0","0.0","0.0","sa597054"
"Jose Capellan","1","1","0","0","0","0","0","0","0","0","0","0","0",".192",".232",".255",".487",".218","0.0","0.0","0.0","sa506929"
"Nick O'Shea","1","1","0","0","0","0","0","0","0","0","0","0","0",".183",".219",".272",".491",".218","0.0","0.0","0.0","sa546795"
"Jhonatan Arias","1","1","0","0","0","0","0","0","0","0","0","0","0",".190",".229",".259",".488",".218","0.0","0.0","0.0","sa503157"
"Eric Haase","1","1","0","0","0","0","0","0","0","0","0","0","0",".176",".225",".260",".484",".217","0.0","0.0","0.0","sa601042"
"Santiago Nessy","1","1","0","0","0","0","0","0","0","0","0","0","0",".183",".222",".265",".487",".217","0.0","0.0","0.0","sa547792"
